label,text,,,,,,
c,"This wasn't that good. I went in fully expecting this book to be right up my alley. Blue is the Warmest Color made me cry for 3 days straight. I've lived in a dorm alone. I fully expected this to be a great after a string of mediocre books and just found nothing. There's nothing inherently wrong with the story except that it's painfully short and half baked. This couldn't be much more than 30,000 words which is less than half the size of a an average novel. While the grief and loneliness is adequately developed, every single aspect of Marin's life is underdeveloped. I just couldn't find myself caring. The twists weren't that interesting, the revelation that she didn't need Mabel as a romantic partner was the only good thing about the marrative. I don't know if this was supposed to be young adult fiction, I didn't see it indicated anywhere on the book or amazon page, just hundreds of glowing reviews for a very average book. I'm sure the countless rave reviews damaged my expectations for this book, but it was still short and boring. I also feel if this wasn't about a lesbian relationship it would have been unfinishable.The chapters and book are short making it easy to page through but I feel if this was a full length book I wouldn't have maintained interest until the end.",,,,,,
i,"WTF is this thing doing in a Bestseller List? At best, it’s YA ala Judy Blume. I’m listening to it so at least I’m not expending any extra energy but unless the last ten chapters are spectacular- and really - nothing is saving this wasted effort - it will be $15 very poorly spent.",,,,,,
c,"This was a tremendous book. It carried a variety of themes but the one that was most striking to me was the problem of abuse. It also touches on how broken people become as a result of warfare. The dominant theme is how dependent and helpless a women is and how that forces her to stays connected to an abusive husband. The book pursues this point relentlessly with the reader wondering why this women would continue to allow herself to be abused in this way. It also brings her to the point where she can take it no more and brings it to a close rather dramaticlly. A somewhat minor theme the book illustrates how people get caught in the system and how having contacts with influence can thwart the system. With the book being set in Alaska, it gives it a rather interesting persona. Great Alone in my opinion is a highly recomended read",,,,,,
c,"I would have given this book 5 stars after reading the first third of the book but got bogged down on Mia’s section. Too much detail about her past, chapters were so long, & there were several. I just wanted to get on with the main story. Also, the custody issue. As a social worker the judge does look at what is in the best interest of the child. But the birth mother & father, they have a timeframe to make every possible effort to find them. A person doesn’t just drop her baby at a fire house & a fireman who works there & his wife adopt the baby. There are legal issues here, but as I always say, it’s only a book. Characters are well developed, the only unlikable character was Elena, very mean spirited. Pearl had a connection with all 4 kids. Book certainly had shadings of the Stepford Wives. Will I read this author’s other book. Probably.
",,,,,,
c,"Very underwhelmed by this novel. Amazon chose it as one of the best novels of 2017 and it received many rave reviews. I was extremely disappointed by every aspect of this novel. At best, it reads like a book for middle schoolers which attempts, unsuccessfully, to raise points about societal ills. Very predictable, superficial and, for the most part, a big yawn. Kept with it to the dreary, uninspiring end. No part of this book was worth the time. I will not read this author again.",,,,,,
c,"This book was very good but very sad. I enjoyed it despite the sadness because the characters were very interesting. She does a good job of exploring grief and taking you through the feelings after you lose somebody. Marin was very broken and she felt very lonely and it made her perspective interesting. I enjoyed also reading about her relationship with Mabel, everyone needs a friend through it all. Marin should not have run out on her life but I understand the reasoning in it. Now the thing I didn't like was the gramps story line. Losing a love one is hard. It destroys families, it breaks your heart, it can literally change a person. Sometimes people just don't survive the change after a death. Now taking it and turning into into a big twist for plot was gross. I didn't enjoy that. Over all though I liked the book.",,,,,,
i,Uhh wow yes this was amazing. Full review to come!,,,,,,
c,"I wish I could get my time and money back after reading this novel. It reads like a YA novel, full of unbelievable superficial characters, mostly teenagers, and repetitive descriptions of this supposed idyllic town of Shaker. Poorly developed plot and the writing is just writing, not creative or inspiring at all, with a predictable ending. Spoiler in the first chapter...teen daughter gets angry and burns the family home to the ground and runs away.",,,,,,
c,The book was just okay for me. The visuals of the setting are nice but the plot is quite boring. Recommend others to read it but I felt the book was jus okay.,,,,,,
i,"This looks so good! So happy I got approved for an ARC! I'm going to dive into it first thing tonight. :) Review to come soon. Thank you Netgalley, and Tor for approving me for an Advanced Review Copy!",,,,,,
c,"I wanted to love this book enough to give it more than 3 stars, but I found myself exasperated by the endless chapters that were seemingly written more so for young adults. The 3 stars are for creativity with regard to telling the audience early on what the main events would be - a fire that sets a home ablaze, and a controversial adoption - which kept me curious enough to finish the book. However, I would have wished she cut through some of the cheesy YA portions of the book (e.g., high schoolers and their hormones) and dig deeper into a couple of the characters to give them more substance rather than just fleeting ideas in the background. Not sure whether I’d be reading her other books, and not sure why people have given her book such high ratings.",,,,,,
c,I kept waiting for something interesting to happen but was disappointed. I could only get through a few pages at a time.,,,,,,
c,Pretty good. Takes a look at grief and how we deal with it in order to heal and move on. I really enjoyed it but it was lacking something that I can't quite put my finger on. It might be that I'm not super interested in books that's aren't plot based. The writing was really beautiful in my opinion and if I'm totally honest I bought this book because of the cover.,,,,,,
c,"Half the fun when you’re reading crime is figuring out who the killer is, so it’s unfortunate when said killer gets squished by a bus in the first few minutes of a book. In this case it’s all about finding his last victim. A one-eared teen hidden in a cement jungle in a dark room full of nasty surprises.The killer picks his victims in an odd way. He chooses to inflict secondary pain by killing someone close to the person he wants to punish. Of course that pain is nothing compared to the butcher-like torture he expresses upon his physical victims. Bit by bit and parcel by parcel. A cat and mouse game ensues with Detective Porter, who is dealing with plenty of personal issues at the time FMK returns to make a last stand. There are plenty of twist and turns combined with strong characters and a compelling plot. Barker likes to take his readers to very dark places, literally dark places. I will not tell a lie, the author manages to create the type of images that make your spine tingle and the hairs rise up on the back of your neck. It’s creepy and vicious, in a very IT clown staring up at you from a drain, kind of way. Barker writes a wicked plot, a wee bit gruesome and barbaric at times, but definitely a fast-paced and blood fuelled exhilarating read. Definitely an author I will be revisiting. *I received an ARC of this book courtesy of the publisher via NetGalley.*",,,,,,
c,"This book doesn't have much character development, doesn't really teach what I think it is trying to, and mostly seems like a way for the author to beat off to their love and knowledge of the 80s. I mean, it was my favorite decade, but the fact that none other are referenced in this story taking place in the far future is disappointing. The writing is alright, and I think it will be better on the silver screen. Spielberg will make it pretty, and entertaining. This book is alsonot much intothe genre of mmorpg fiction, but touching on it like paranormal touches on paranormal romance.",,,,,,
i,Don't throw many books away....but this one went in the trash...so depressing I gave up...that's not why I read!!!!,,,,,,
c,"The story actually starts out in an interesting way - the MC is staying in a dorm all by herself over the winter break and has all the plans of keeping herself busy - learning meditation, reading, coking, etc. I would totally read a YA novel about staying secluded FOR PLEASURE and enjoying the bliss of disconnecting and being alone for awhile. But alas, We Are Okay is not a book about that, it appears to be about the things well covered by it must be hundreds of YA books about grief and loss. Even though the novel is well written, I am not interested.",,,,,,
i,"Slightly disappointing, 3.5 stars. Buddy read with GR's #1 user. This looks very promising, now me thinks future me will be happy that now me decided to pick this :)",,,,,,
c,"This is one of the most disappointing pieces of Science Fiction I've ever read. The only thing this book has going for it is nostalgia. Yes, there is a bunch of cool stuff from the 80's stuffed in here. The writing, however, is inexcusably bad. Infodumps abound for lackluster worldbuilding, and the characters range from mediocre, to generic, to offensively stereotypical. The story lacks any dramatic tension until the very end and the romance is about as cookie-cutter as they come. The concept of a hero in a hyper-realistic virtual world is nothing new, and this is not a particularly good rendition of it; in fact it's a particularly bad rendition of it. Avoid this book.",,,,,,
i,"I read the first six chapters, so this is only a partial review.  ""Courage does not always roar. Valor does not always shine."" In the beginning, Orïsha was a land where the rare and sacred maji lived. But when they started to abuse their powers as kings and queens the gods stripped them of their gifts. And the love of the people became hate and they started to wipe the maji from their world. And then magic disappeared. 
In my opinion the story is really interesting and I'm definitely going to read more of it when it is published. Zélie is rebellious, strong and sees injustice and wants to fight it. That makes her a strong female character I want to know more of. 
And the absolute coolest thing is that she raised a lionaire that is now faithful to her. After Amaris best friend is killed by her father she steals the artifact. That's a really courageous and it needs even more strength to betray your family with this. This makes Amari an even more interesting character. Before magic disappeared there were majis who could control water, who commend fire. Some could read minds, peer through time, heal or bring disease. Others could tame wild beasts or wield darkness and light. 
It seems that in this past everything was possible, they were no limits, no rules. It's a really nice writing, that you can read fast without stopping. ",,,,,,
c,"This is a spectacular epic. A love for Alaska shines through the twisting, turning story of a small family who love and hurt each other. We see the horror of war in it's after effects. The glimpse of life in the 1970's. Our heroine is a child who moves so often she never fits in. Her father is left property in Alaska by his army friend who didn't make it back.",,,,,,
c,"When the story moves to Alaska everything comes vividly alive, the scenery, the characters and the story.",,,,,,
c,"It was everything! Beauty, tragedy, love and redemption. Riveting, horrifying and absolutely wonderful. I highly recommend this soon to be classic.",,,,,,
c,Kristin Hannah has outdone herself again in this magnificent saga about a young girl's journey to Alaska and her coming of age. Her descriptions of this vast state and it's beauty pall in comparison to it's brutal characteristics. One of the most meaningful love stories between Matthew and Leni that I have ever read. The human frailty of both her parents and the inner strength of so many that she learns to love in this vast place. I re-dreamed the last chapter all night. Always a good thing. I highly recommend this book. You almost feel a sense of accomplishment when you finally put it down as if you too have survived a long winter and finally seen the sun and smelled summer.,,,,,,
i,reading the first chapter im already in love and went ahead bought two different editions of this book with no regrets :):):),,,,,,
c,"Breathless pacing, masterful worldbuilding, and a heroine we've all been waiting for. This book is beautiful, powerful, and totally badass. You need it in your life.",,,,,,
c,"This was such a nice surprise! I've been meaning to read this book for AGES, and I've built it up in my head as this super dry, boring book, but boy was I ever wrong. This book is juuuust about 200 years old, yet it feels incredibly timeless, more than many other classics I've read. It was so interesting, and the character of Frankenstein's monster was so tragic (and he can speak! I didn't see that coming thanks to Hollywood ruining the image of ""Frankenstein"") that there just wasn't time to be bored! I also listened to the audiobook narrated by Dan Stevens, and he did an amazing job. Highly recommend!",,,,,,
c,"Excellent book. A great study in both the frailty and the strength of human beings and the family bond. At every turn this book illustrates that there is ALWAYS a story behind the story....a reason for why a person acts the way he or she does, the deep fear / heartache / love that drives one's actions which the casual observer could not possibly guess. Or not even the casual observer...sometimes even the people closest to you. These characters were at once profoundly frustrating in their inability to truly HEAR and understand each other, but admirable in their resilience and fierce allegiance to those they love. Ng truly brings her characters to life and in doing so evokes great feeling from the reader (or at least in my case!). I would highly recommend this book.
",,,,,,
c,I didn’t like it. I kept waiting for something to happen. Writer spent soooo much time getting me to know the characters but after awhile I could care less about them. I just wanted the book to end. Why doesn’t amazon give me my money back?,,,,,,
c,Very anti climactic. Very predictable. I thought this book would have a lot more significance. The book was a downer with no purpose.,,,,,,
i,"I read 80 pages of this book and it was so boring.
",,,,,,
c,"I rarely feel compelled to write a review because what we each enjoy reading can be so subjective. However - the glowing reviews for this novel were part of the reason I decide to purchase it and to read it. This novel was so trite, sophomoric and predictable that I actually checked to see if I had mistakenly chosen teen literature. Save your time and your money !!",,,,,,
c,"I loved it! Before reading this book I had heard the story we all know about Frankestein. A suffered no-human being and blah blah blah. However, the story, how is written in general is amazing. The description of Viktor, what he suffered to build that monster, how obsessed he was about that. And then, well, no need to describe how much this poor little creature suffered. One can say ""that life is suffered, but many lives are..."", and it's true, but everything depends on how the story (or life) is told. About the details in the book, I will keep it for myself and I will just share them with someone who wants to talk to me about this book. I don't like to spoil much. I totally recommend it. A MASTERPIECE!",,,,,,
i,IT’S HAPPENING IT’S HAPPENING IT’S HAPPENING IT’S HAPPENING! I‘m reading the last book in the illuminae files.......... someone hold me (preferably nik malikov). ok i‘m shutting up now its time to die ,,,,,,
c,"I won this in a first reads giveaway. This is a fantastic illustration of the modern immigrant experience. The author does a wonderful job of character development and showing how hard it is to start over in a new country where you don't know anyone and have to adjust to a whole new set of customs and social mores.
",,,,,,
i,"I was perfectly content with my life until Goodreads ads for this popped up on my screen & reminded me that there are only 2 more days until this comes out but far more days till I will actually be able to read it I love being broke and having to rely on slow libraries yeehaw

oh and if Ella Gaylikova does not get a girlfriend in this book, she can come find me & take me into space to be gay with her thanks and good night",,,,,,
i,"I'm not going to read this book. But it looked like a fine addition to my new shelf of books that I will ""admire from a distance"" (and never touch). I like the premise, that building/creating things for your S.O. leads to unintended consequences. I have a feeling this works in mediums other than yarn.",,,,,,
c,Very entertaining and enjoyable. I can relate well to this book because of my wife and mother-in-laws love of knitting/crocheting and their love of yarn. Quite an interesting look at how crafting is interwoven with life. I won this book in a GoodReads Giveaway.,,,,,,
i,"3 stars DNF I read an excerpt, an incredibly long and misleading excerpt that must have been around 200 pages, of this novel. If I had known that I was reading an excerpt and not the full novel I would have DNFed it. However, I will be considering this novel read because I have no desire to pick up the entire novel. I’m massively peeved about this and I feel like I wasted a large chunk of my time reading a novel that I thought was the first in the series and now I know why I felt like I was reading so much exposition. I was wondering why new characters were being introduced 98% into the novel and it’s because my ARC copy was only excerpt. I have a lot of problems with this novel that goes beyond feeling betrayed the publisher and mislead because when I downloaded the copy it did not state that was excerpt until AFTER the publication date did this become a subtitle on my Netgalley dashboard. Moving on, this is a standalone retelling of King Lear by William Shakespeare. I am a massive King Lear fan and I think it is one the easier plays of Shakespeare’s as well as being overall brilliant in concept and themes. I have a great passion for Lear and so when I saw that there was a fantasy retelling coming out for this novel I was excited and intrigued. A Breakdown of the Pros and Cons of this novel: There are talking trees and magical elements that are vastly fascinating. However, if I’m being honest these magical elements did not seem fully expanded upon and they lacked believability within the world created. Gaela, Regan, and Elia sticking close to the original characters, but being heavily expanded upon. I always associated Goneril with gonorrhea and she was easily my most hated character of the original play, but Gaela is much more human and she is a force to be reckoned with. I also greatly dislike her, but I dislike her actions not her character and that is a huge plus. Regan stays true to the original Regan, but she is much more fleshed out. Regan struggles with miscarriages and failed pregnancies and it really makes her devotion to Gaela real and understandable. Whereas in the original play, it just is. Elia does stay true to Cordelia in a sense, but she is easily the most boring of the sisters. I loved Cordelia, but I can barely stand Elia. I think Gratton struggled with this character.",,,,,,
c,"I loved this book . It had everything in it to stimulate interest and emotional feelings of love, hate, admiration, courage, sympathy an emotionsl psychological study of human character. I grew to love and even hate some characters ... all were interesting, intertwining, hateful, loving, courageous, adventuresome, mysterious, sympathetic, accommodating, trying to live harmoniously in the Great Alone ... Alaska. It is a page turner, I cried, I sobbed, I couldn’t put it down for long. I loved every page. It is one of the best novels I have ever read. Kirstin Hannah is a beautiful writer with passion and realistic",,,,,,
c,"The best thing about the original play is the Fool. Gratton stays true to the Fool’s wise, but confounding phrases and it is so enjoyable. My favorite line from King Lear is in the opening scene when Cordelia tells Lear “Nothing, my lord.” When she is asked how much she loves him. I loved the way the scene was done in this retelling. It’s told from the PoV from the Fool’s daughter (who does not exist in the play) and it is done so brilliantly. It was the part of this entire excerpt I read. The problem is that it occurred 50% through the 200 pages I read. The lyrical prose is trying too hard. I love lyrical prose, but I also know that not all writers are able to capture this style with grace and ease. Gratton is one of those authors who struggles. A vast majority of her descriptive language is redundant and pointless. Early on, I considered DNFing because of the style, but I pushed on because I love King Lear and wanted to see how it would end. I didn’t even get a conclusion, so I should’ve just DNFed. I’m mainly disappointed because I don’t know how Gratton approaches Gloucester losing his eyes, the Edmund obsession that all the sisters eventually acquire and the death of everyone. I really just want to know how everything is handled so send me spoilers because I won’t be seeking out this novel to find out. Whimsical Writing Scale: 3 Character Scale: 3.5 Plotastic Scale: 4 Cover Thoughts: It’s so wonderful to see PoC hands on the cover of an adult fantasy novel. Thank you, Netgalley and Tor, for providing me with an excerpt of this novel in exchange for an honest review.",,,,,,
c,"Another beautiful and thought provoking book from Lisa Genova. It is raw yet profoundly moving; it is a novel about both holding on and letting go. This novel charts the cruel progress of ALS as Richard's life (as he knows it) is gradually changed and stripped away. His family is fractured and they are holding on to past grievances whilst dealing with the Earthquake that is ALS. The character's imperfections make them relatable and believable and whilst I didn't warm to them immediately, Lisa Genova was able to take me to their world and make me care very deeply.

",,,,,,
c,Genova delivers another heart-wrenching story. This time the focus is ALS and is told in such a way that allows the reader to want to continue to read the story and find out what happens even though you really know how it will end.,,,,,,
c,"I read this book from start to finish in a week. It was instantly engaging and captivating. Never having been through anything like ALS, I was completely enveloped in listening to and understanding Richard's experience in losing all agency and control in his life. It was heart-breaking, but kept me gripped until the end. 
",,,,,,
c,"I was very disappointed in this one. There are so many good reviews and this author is supposed to be great. Unfortunately, this one was too slow moving for me. It’s also riddled with stereotypes and cliches. It did not hook me, even a little bit.",,,,,,
c,"This book was absolutely painful to read. The plot was garbage, the characters shallow and predictable, cliches piled on cliches, and the relentless deluge of pop culture references served to only piss me off. The often pointless cultural references were akin to Family Guy's entire body of work concentrated into the power of a single lemon, as if there was a quota the author aimed to reach in each page. Nostalgia gone wrong.",,,,,,
c,"I read this book based on 2 personal recommendations and the strong reviews on Amazon. As such, I feel compelled to warn others: Read Player One is not worth your time. While I was disappointed with many aspects of the book, including its thin characters and poor writing, there are a two problems that deserve to be underlined. Ready Player One is fundamentally unoriginal. If you're familiar with Willy Wonka, TRON, and WALL-E, among others, you'll find nothing new in its concept and setting. The plot and characters are tropes.The premise is silly. The book centers around a contest that will decide control of a massive fortune and an extremely popular virtual reality platform. That contest amounts to a series of riddles that can be solved with knowledge of 80s pop culture. Unfortunately, the book never makes the case that any of this knowledge amounts to wisdom or that acquiring it is a demonstration of virtue. Indeed, the entire plot suggests that the contest is a dangerous way to pick a good steward. I'll be interested to see if the Spielberg adaptation overcomes these issues but the book is not worth your time.",,,,,,
c,"While this book has a good plot that will make you want to keep reading (both present and past), it is very much about the characters more than what ""happens."" The characters become so real as this story unravels and the loneliness and grief are just so palpable. This book is about loss, grief, loneliness, heartache, and maybe even despair. But it's also about the staying power of true friendship, the beauty and excitement of romantic love, and family, for better or for worse.",,,,,,
i,"I’m starting off with this: It’s not a bad book. I’m sure I would have given it two stars if I read it to the end. But, it was just a not for me book. The focus was on a divorced couple. The wife, Karina, is a natural caretaker. The husband, Richard, is a world-renowned piano player (who is also an ass). Richard gets diagnosed with ALS. They have a lot of bad blood between them. He’s losing his ability to do what he loves, just as she’s failing to become her own person after a divorce. And that’s it. I got over 50% into the book and that’s all that happened. Things happened between them in the past that caused their feelings, but it was only hinted at. Nothing was discussed. While this is written beautifully — both the lyrical prose about their relationship and the frank picture of what’s happening to Richard — but it was boring. I got bored of reading the same sentences structured in different ways.It just didn’t work for me.",,,,,,
i,"I want to be very clear here. I read quite a bit, and this is one of stupidest, sophomoric attempts at writing I have ever seen. First, the sentences are horrendously dull affairs, the narrative structure is atomically wrong, and the characters are never even described much, much less developed. Nothing is ever experienced in this book; it's just explained to you in mind-numbing I don't care detail. It's not interesting, the characters are completely flat, and the world is illogical and simultaneously thoroughly not explored. For instance, the world has been beset by the normal pablum of leftist disasters (nuclear war, global warming, environmental ruin) but this promotes sitting at home and playing a video game all day. For pretty much everyone. Stay far away. Cereal boxes are better written.",,,,,,
i,"DNF  Simplistic prose, linear style, familiar plot, clichéd shallow characters, Gross Bloody Brutality and Gore. All presented in a single voice. * Facepalm * And dull. And what's with the never-ending explanations about Twitter, the Internet, iPhones, and technology? Is this book targeted at hermits or over-80s readers? I simply cannot believe the 4- and 5-star reviews for this dull garbage, a cartoon leavened with bloody horror. Super-ugh.",,,,,,
c,"""I was okay just a moment ago. I will learn to be okay again. ""This is a quick and easy read about grief and loneliness with some truly beautiful passages. Marin abruptly left her old life in California following the death of her Gramps, her guardian since her mother's passing. Now, it's Christmas break and Marin is the only one left at her New York campus. Her old friend, Mabel, is on her way to visit for a few days, and it'll be the first time they talk or see each other in months. But being together again will force Marin to confront the secrets and regrets that have given rise to the deep loneliness inside her. It's a tender and touching story—but maybe just a little too tender and touching for my taste. I loved LaCour's prose and even highlighted a few passages, but the carefully crafted sentimentality of the story felt too much like YA. There's definitely an audience for this book and many readers who will love it. It just wasn't completely for me.",,,,,,
c,"I reserved We Are Okay from the library on a whim after reading an article on Goodreads about Nina LaCour. I was only familiar with Nina LaCour because she co-wrote You Know Me Well with David Levithan. I really enjoyed that book, so I decided I should read one of her novels. This book is quite sad. Marin’s grandfather died right before she was supposed to start college, and she’s not dealing with it very well. She escaped to NYC early and hasn’t spoken to anyone from home in a few months. It’s now Christmas break, and her best friend, Mabel, has come to the city to try to bring her home. The details of what happened in the past – between Mabel and Marin, with Marin’s grandfather, with her mother – are revealed slowly throughout this short novel. Something Marin discovered before she left California has her question everything she’s ever known. Nothing much happens in this book. It is very character-driven, but there was something beautiful about this book. I didn’t love it, but I did enjoy it. Sometimes reading something sad can be just right.",,,,,,
i,Depressing subject matter. Disappointed in that I thought I’d read more about Alaska. More about domestic abuse which is awful but wished I had known that was the main story. I stopped reading half way through. Too difficult to read.,,,,,,
c,"Not a terribly original work - ""we can disappear into the machine to get away from life"" has a growing body of science fiction literature going back to the arrival of digital computers - but one written with gamers in mind (my hand just went up). It is a lightly written (death occurs but there is little mourning or other emotional impact) and at times reads like the main and side quests for an RPG. You'll probably enjoy this more if you've been around computer gaming for some time.",,,,,,
i,I don’t know how the book ends. The copy i received is misprinted and missing about 30 pages right before the start of the final climax of the story. The 30 pages are just duplicates of the very beginning of the book. Very disappointed because now I will either not know the ending or will have to rebuy which is very unfortunate.,,,,,,
c,"Not well written. Too much exposition and explanation directed at the audience (show don;t tell, let the reader discover the history through the characters' actions) Too much - narrator in peril but don't worry because he's prepared for this ahead of time. Too arrogant.",,,,,,
